--disable-avs,--disable-swscale,--disable-lavf,--disable-ffms,--disable-gpac,--disable-lsmash,--enable-lto,--enable-debug,--enable-gprof,--enable-strip,--enable-pic,--disable-asm,--enable-shared,--enable-static,--enable-bashcompletion,--disable-cli,--disable-bashcompletion,--disable-opencl,--disable-gpl,--disable-thread,--disable-win32thread,--disable-interlaced,--system-libx264,--bit-depth=8,--bit-depth=10,--bit-depth=all,--chroma-format=400,--chroma-format=420,--chroma-format=422,--chroma-format=444,--chroma-format=all,binary-size,unit,nr-of-gadgets
true,false,true,false,true,true,false,false,true,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,false,false,true,false,898952,bytes,31909
false,false,true,true,false,true,false,true,true,true,true,false,false,false,true,false,false,true,false,true,false,false,true,false,true,false,false,false,false,true,false,3096112,bytes,106878
false,true,true,true,false,false,false,true,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,4586520,bytes,41512
false,false,false,true,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,1582088,bytes,48945
false,true,true,true,false,true,false,true,false,true,true,true,false,false,false,false,false,true,true,true,true,false,true,false,false,true,true,false,false,false,false,3096112,bytes,106878
false,false,false,false,false,true,true,false,false,true,true,true,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,true,false,3096112,bytes,106878
true,false,false,false,true,false,false,true,true,false,false,true,false,false,false,false,true,true,false,true,true,false,false,true,false,false,false,true,false,false,false,4713712,bytes,41797
false,false,false,true,false,false,false,true,false,true,true,false,false,false,false,false,true,true,false,true,true,false,true,false,true,false,false,false,false,false,true,3096112,bytes,106878
true,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,true,false,true,true,false,false,true,true,false,false,false,false,3096112,bytes,106878
true,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false,true,false,true,true,true,false,true,false,false,true,false,true,false,false,false,3096112,bytes,106878
true,true,true,true,false,true,false,true,true,true,false,true,false,false,true,false,false,true,false,false,true,true,false,false,false,false,false,true,false,false,false,1108184,bytes,40300
true,true,true,true,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,true,true,false,true,false,false,false,false,true,false,false,4535152,bytes,42064
false,true,true,true,false,true,true,false,false,true,true,true,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,true,false,3096112,bytes,106878
false,true,true,true,true,false,true,false,true,false,true,false,false,false,false,false,true,true,true,true,false,false,true,false,false,true,false,true,false,false,false,3096112,bytes,106878
true,false,false,true,false,false,false,true,false,true,true,false,false,false,false,false,true,false,false,true,true,true,false,false,false,true,false,false,true,false,false,2212984,bytes,81492
false,true,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,true,false,false,false,2110288,bytes,79144
true,false,false,true,true,true,false,true,false,true,false,false,false,false,true,false,false,false,true,false,true,true,false,false,false,true,false,false,false,true,false,1709200,bytes,62792
true,false,false,false,true,false,false,true,true,true,false,true,false,false,false,false,false,false,true,false,true,true,false,false,false,true,false,false,false,false,true,1915544,bytes,66389
true,false,true,false,false,false,false,true,true,true,true,true,false,false,false,false,true,true,false,false,true,false,true,false,true,false,false,false,true,false,false,3096112,bytes,106878
