--disable-avs,--disable-swscale,--disable-lavf,--disable-ffms,--disable-gpac,--disable-lsmash,--enable-lto,--enable-debug,--enable-gprof,--enable-strip,--enable-pic,--disable-asm,--enable-shared,--enable-static,--enable-bashcompletion,--disable-cli,--disable-bashcompletion,--disable-opencl,--disable-gpl,--disable-thread,--disable-win32thread,--disable-interlaced,--system-libx264,--bit-depth=8,--bit-depth=10,--bit-depth=all,--chroma-format=400,--chroma-format=420,--chroma-format=422,--chroma-format=444,--chroma-format=all,binary-size,unit,nr-of-gadgets
false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,false,true,false,false,true,true,true,false,false,false,true,false,false,false,true,false,2152456,bytes,72737
true,false,false,true,true,true,true,false,true,true,false,false,false,false,false,false,false,true,true,false,true,false,false,true,false,false,false,false,true,false,false,1177784,bytes,43889
true,false,true,false,false,true,true,false,false,true,true,false,false,false,true,false,false,false,true,false,false,true,true,false,false,true,false,false,false,true,false,3096112,bytes,106878
false,false,true,true,true,true,false,false,false,false,true,false,false,false,true,false,false,true,false,true,false,false,false,false,true,false,false,false,true,false,false,1189784,bytes,42709
false,false,true,false,true,true,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,1192288,bytes,42289
true,false,false,true,true,false,false,false,true,true,false,true,false,false,false,false,true,true,false,true,false,true,false,false,false,true,false,false,true,false,false,2017656,bytes,68474
true,false,false,false,true,false,false,false,true,true,true,true,false,false,false,false,false,true,false,true,true,true,true,false,false,true,false,false,false,true,false,3096112,bytes,106878
true,false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,false,true,false,false,true,false,true,false,true,false,true,false,false,false,false,3096112,bytes,106878
true,false,false,true,false,true,false,false,true,false,true,false,false,false,true,false,false,true,true,true,false,true,true,false,true,false,false,false,false,false,true,3096112,bytes,106878
false,true,true,true,false,false,false,false,false,true,false,true,false,false,true,false,false,true,true,true,false,false,false,false,false,true,true,false,false,false,false,1961904,bytes,72828
false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,true,false,false,false,false,false,true,false,false,false,false,true,2384416,bytes,86132
true,true,true,true,false,true,true,false,true,true,false,true,false,false,true,false,false,true,false,false,true,true,false,false,false,false,false,false,false,true,false,1521272,bytes,51996
false,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,true,false,false,false,false,true,2461784,bytes,86288
true,false,true,true,false,false,false,false,true,false,false,true,false,false,true,false,false,true,true,true,false,true,false,false,false,true,false,false,false,false,true,2348752,bytes,78182
true,false,true,false,true,true,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,true,false,false,false,false,true,false,false,1259856,bytes,44588
false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,true,false,true,false,true,false,false,false,true,false,false,false,false,false,true,991152,bytes,38757
true,true,true,true,true,false,true,false,true,false,false,false,false,false,false,false,false,true,true,false,true,true,false,true,false,false,false,false,true,false,false,1790688,bytes,58837
true,false,true,true,true,true,true,false,false,false,false,true,false,false,false,false,false,true,true,false,true,true,false,true,false,false,false,true,false,false,false,901368,bytes,33393
true,false,false,false,true,true,true,false,true,false,true,false,false,false,false,false,false,false,true,true,false,true,true,true,false,false,false,false,false,true,false,3096112,bytes,106878
true,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,true,true,false,true,true,true,false,true,false,false,false,false,false,false,true,1900840,bytes,64520
true,false,false,false,false,true,true,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,false,true,false,false,false,false,false,true,false,915216,bytes,33411
true,false,true,true,true,true,true,false,true,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,true,false,false,true,false,false,2246080,bytes,73291
