,--disable-option-checking,--disable-libtool-lock,--disable-largefile,--disable-threadsafe,--disable-tcl,--disable-readline,--disable-amalgamation,--disable-load-extension,--disable-math,--enable-shared=no,--enable-static,--enable-fast-install,--enable-releasemode,--enable-tempstore,--enable-editline,--enable-debug,--enable-all,--enable-memsys5,--enable-memsys3,--enable-fts3,--enable-fts4,--enable-fts5,--enable-json1,--enable-update-limit,--enable-geopoly,--enable-rtree,--enable-session,--enable-gcov,--with-pic,--with-gnu-ld,--with-tcl=/usr/lib64,binary-size,unit,nr-of-gadgets
131,False,False,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,4051536,bytes,65635
132,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,4000608,bytes,65456
133,False,False,False,False,True,True,False,True,False,False,True,False,True,True,True,True,True,True,False,True,False,False,True,True,False,False,False,False,True,False,True,4052440,bytes,65683
134,True,False,True,False,False,False,True,True,True,True,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False,True,10151696,bytes,79464
135,True,False,False,True,False,False,True,True,False,True,False,True,True,True,False,True,False,False,True,True,True,False,True,False,False,True,True,True,True,True,True,3505792,bytes,56520
136,False,True,True,False,True,True,False,True,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,False,False,False,True,True,False,True,4052440,bytes,65683
137,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,True,False,False,True,9584504,bytes,75542
138,True,False,True,False,False,True,False,False,False,True,False,True,False,True,True,False,True,False,True,True,True,False,True,True,True,False,True,False,False,False,True,10228096,bytes,80106
139,False,True,True,True,False,False,True,True,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,False,False,True,10126200,bytes,79528
140,True,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,True,True,False,True,False,False,False,True,True,True,True,10141672,bytes,79682
141,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False,10213128,bytes,80461
142,False,False,True,True,False,False,False,True,True,False,True,True,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,True,False,True,9698584,bytes,76654
143,True,True,False,True,True,True,True,False,True,True,False,True,False,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,True,False,9719872,bytes,76915
144,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,True,False,True,False,True,True,8666216,bytes,68272
145,False,False,True,True,False,False,False,True,False,False,True,False,False,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,False,True,True,3859304,bytes,63306
146,False,True,False,False,False,True,False,False,True,True,False,True,True,False,False,False,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,10196016,bytes,80317
147,True,True,True,False,True,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,True,False,True,False,False,True,False,True,3446048,bytes,54937
148,True,True,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,True,True,False,8866088,bytes,69715
149,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,False,False,False,True,False,False,False,False,True,True,False,10240840,bytes,80084
150,False,False,False,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,True,False,True,False,True,False,10073536,bytes,79129
151,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,3552200,bytes,57466
152,True,False,True,False,False,True,False,True,True,True,False,True,False,True,False,True,True,False,False,False,True,False,True,False,False,True,True,True,False,True,False,4033272,bytes,65274
153,True,True,False,True,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,False,8878384,bytes,69846
154,False,False,False,False,False,True,True,True,True,False,False,False,True,True,False,True,True,True,False,False,False,True,False,False,True,False,True,False,False,True,True,4041984,bytes,65655
155,False,False,True,True,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,True,10060896,bytes,79008
156,False,True,False,False,False,True,False,True,False,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,False,False,True,False,True,True,False,4052440,bytes,65683
157,True,True,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,True,False,False,False,True,False,True,True,True,False,True,False,True,10196032,bytes,81048
158,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,True,False,False,False,False,True,True,8696048,bytes,68588
159,True,True,False,False,True,True,False,True,True,False,True,True,False,False,True,False,False,True,True,False,False,True,True,True,True,False,True,False,False,True,False,10176848,bytes,79556
160,False,False,False,True,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,True,True,False,False,True,True,False,True,False,False,False,True,8963552,bytes,70586
161,False,True,False,False,True,True,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,3478224,bytes,55586
162,True,True,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,True,True,True,True,False,True,False,True,False,True,False,9705000,bytes,76283
163,True,False,False,False,False,True,True,False,True,False,False,False,False,True,True,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,True,3925472,bytes,63574
164,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False,False,False,4034120,bytes,65509
165,True,True,True,True,False,False,True,False,False,True,True,False,True,True,True,True,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False,3509712,bytes,56515
166,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,True,False,True,True,False,True,True,True,False,False,True,True,False,False,False,False,4025608,bytes,64907
167,False,True,True,True,False,False,True,False,False,False,False,True,True,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,True,True,4005560,bytes,65315
